,id,full_name,first_name,last_name,is_active
3608,1629621,Marial Shayok,Marial,Shayok,True
3609,78130,Bob Shea,Bob,Shea,False
3610,78131,Fred Sheffield,Fred,Sheffield,False
3611,78132,Craig Shelton,Craig,Shelton,False
3612,78133,Lonnie Shelton,Lonnie,Shelton,False
3613,203129,Tornike Shengelia,Tornike,Shengelia,False
3614,1852,Jeff Sheppard,Jeff,Sheppard,False
3615,78135,Steve Sheppard,Steve,Sheppard,False
3616,78136,Edmund Sherod,Edmund,Sherod,False
3617,78653,Charlie Shipp,Charlie,Shipp,False
3618,2321,Paul Shirley,Paul,Shirley,False
3619,78138,Gene Short,Gene,Short,False
3620,78139,Purvis Short,Purvis,Short,False
3621,78140,Dexter Shouse,Dexter,Shouse,False
3622,78141,Dick Shrider,Dick,Shrider,False
3623,78142,Gene Shue,Gene,Shue,False
3624,78143,John Shumate,John,Shumate,False
3625,202697,Iman Shumpert,Iman,Shumpert,False
3626,203144,Alexey Shved,Alexey,Shved,False
3627,1627783,Pascal Siakam,Pascal,Siakam,True
3628,1626296,Jordan Sibert,Jordan,Sibert,False
3629,78144,Sam Sibert,Sam,Sibert,False
3630,78145,Mark Sibley,Mark,Sibley,False
3631,78146,Jerry Sichting,Jerry,Sichting,False
3632,78147,Larry Siegfried,Larry,Siegfried,False
3633,78148,Ralph Siewert,Ralph,Siewert,False
3634,78149,Jack Sikma,Jack,Sikma,False
3635,78150,James Silas,James,Silas,False
3636,78151,Paul Silas,Paul,Silas,False
3637,202918,Xavier Silas,Xavier,Silas,False
3638,202081,Garret Siler,Garret,Siler,False
3639,78152,Mike Silliman,Mike,Silliman,False
3640,1629735,Chris Silva,Chris,Silva,True
3641,101134,Wayne Simien,Wayne,Simien,False
3642,1627732,Ben Simmons,Ben,Simmons,True
3643,2250,Bobby Simmons,Bobby,Simmons,False
3644,200759,Cedric Simmons,Cedric,Simmons,False
3645,78153,Connie Simmons,Connie,Simmons,False
3646,78154,Johnny Simmons,Johnny,Simmons,False
3647,203613,Jonathon Simmons,Jonathon,Simmons,False
3648,1628424,Kobi Simmons,Kobi,Simmons,True
3649,1489,Lionel Simmons,Lionel,Simmons,False
3650,1750,Miles Simon,Miles,Simon,False
3651,1629014,Anfernee Simons,Anfernee,Simons,True
3652,54,Dickey Simpkins,Dickey,Simpkins,False
3653,202067,Diamon Simpson,Diamon,Simpson,False
3654,78157,Ralph Simpson,Ralph,Simpson,False
3655,1591,Alvin Sims,Alvin,Sims,False
3656,78160,Bob Sims,Bob,Sims,False
3657,201235,Courtney Sims,Courtney,Sims,False
3658,78159,Doug Sims,Doug,Sims,False
3659,203156,Henry Sims,Henry,Sims,False
3660,78161,Scott Sims,Scott,Sims,False
3661,202713,Kyle Singler,Kyle,Singler,False
3662,201606,Sean Singletary,Sean,Singletary,False
3663,202698,Chris Singleton,Chris,Singleton,False
3664,101189,James Singleton,James,Singleton,False
3665,78162,Mckinley Singleton,Mckinley,Singleton,False
3666,78163,Zeke Sinicola,Zeke,Sinicola,False
3667,78164,Charlie Sitton,Charlie,Sitton,False
3668,203491,Peyton Siva,Peyton,Siva,False
3669,101,Scott Skiles,Scott,Skiles,False
3670,78167,Al Skinner,Al,Skinner,False
3671,1730,Brian Skinner,Brian,Skinner,False
3672,78168,Talvin Skinner,Talvin,Skinner,False
3673,78169,Whitey Skoog,Whitey,Skoog,False
3674,78170,Jeff Slade,Jeff,Slade,False
3675,1073,Reggie Slater,Reggie,Slater,False
3676,78171,Jim Slaughter,Jim,Slaughter,False
3677,78172,Jose Slaughter,Jose,Slaughter,False
3678,2447,Tamar Slay,Tamar,Slay,False
3679,202388,Donald Sloan,Donald,Sloan,False
3680,78173,Jerry Sloan,Jerry,Sloan,False
3681,101166,Uros Slokar,Uros,Slokar,False
3682,78174,Tom Sluby,Tom,Sluby,False
3683,1629346,Alen Smailagic,Alen,Smailagic,True
3684,78175,Keith Smart,Keith,Smart,False
3685,203935,Marcus Smart,Marcus,Smart,True
3686,78176,Belus Smawley,Belus,Smawley,False
3687,78177,Jack Smiley,Jack,Smiley,False
3688,78178,Adrian Smith,Adrian,Smith,False
3689,78207,Bill Smith,Bill,Smith,False
3690,78209,Bill Smith,Bill,Smith,False
3691,78202,Bingo Smith,Bingo,Smith,False
3692,78203,Bobby Smith,Bobby,Smith,False
3693,293,Charles Smith,Charles,Smith,False
3694,1520,Charles Smith,Charles,Smith,False
3695,78179,Charles Smith,Charles,Smith,False
3696,1814,Chris Smith,Chris,Smith,False
3697,203147,Chris Smith,Chris,Smith,False
3698,78181,Clinton Smith,Clinton,Smith,False
3699,200783,Craig Smith,Craig,Smith,False
3700,78182,Deb Smith,Deb,Smith,False
3701,78183,Derek Smith,Derek,Smith,False
3702,78184,Don Smith,Don,Smith,False
3703,78185,Donald Smith,Donald,Smith,False
3704,2764,Donta Smith,Donta,Smith,False
3705,475,Doug Smith,Doug,Smith,False
3706,78187,Ed Smith,Ed,Smith,False
3707,78188,Elmore Smith,Elmore,Smith,False
3708,78189,Garfield Smith,Garfield,Smith,False
3709,78190,Greg Smith,Greg,Smith,False
3710,202962,Greg Smith,Greg,Smith,False
3711,202397,Ish Smith,Ish,Smith,True
3712,2747,JR Smith,JR,Smith,False
3713,2074,Jabari Smith,Jabari,Smith,False
3714,201160,Jason Smith,Jason,Smith,False
3715,202536,Jerry Smith,Jerry,Smith,False
3716,78191,Jim Smith,Jim,Smith,False
3717,693,Joe Smith,Joe,Smith,False
3718,2746,Josh Smith,Josh,Smith,False
3719,78192,Keith Smith,Keith,Smith,False
3720,181,Kenny Smith,Kenny,Smith,False
3721,78194,Labradford Smith,Labradford,Smith,False
3722,78195,Larry Smith,Larry,Smith,False
3723,1910,Leon Smith,Leon,Smith,False
3724,63,Michael Smith,Michael,Smith,False
3725,78197,Michael Smith,Michael,Smith,False
3726,2065,Mike Smith,Mike,Smith,False
3727,202701,Nolan Smith,Nolan,Smith,False
3728,78198,Otis Smith,Otis,Smith,False
3729,78199,Phil Smith,Phil,Smith,False
3730,78200,Randy Smith,Randy,Smith,False
3731,78201,Reggie Smith,Reggie,Smith,False
3732,78204,Robert Smith,Robert,Smith,False
3733,203893,Russ Smith,Russ,Smith,False
3734,78205,Sammy Smith,Sammy,Smith,False
3735,120,Steven Smith,Steven,Smith,False
3736,200848,Steven Smith,Steven,Smith,False
3737,1478,Stevin Smith,Stevin,Smith,False
3738,2604,Theron Smith,Theron,Smith,False
3739,380,Tony Smith,Tony,Smith,False
3740,78208,Willie Smith,Willie,Smith,False
3741,1629015,Zhaire Smith,Zhaire,Smith,True
3742,1628372,Dennis Smith Jr.,Dennis,Smith Jr.,True
3743,22,Rik Smits,Rik,Smits,False
3744,1091,Mike Smrek,Mike,Smrek,False
3745,78212,Joe Smyth,Joe,Smyth,False
3746,203503,Tony Snell,Tony,Snell,True
3747,727,Eric Snow,Eric,Snow,False
3748,78213,Dick Snyder,Dick,Snyder,False
3749,2745,Kirk Snyder,Kirk,Snyder,False
3750,78214,George Sobek,George,Sobek,False
3751,78215,Ricky Sobers,Ricky,Sobers,False
3752,78216,Ron Sobie,Ron,Sobie,False
3753,78217,Mike Sojourner,Mike,Sojourner,False
3754,2226,Will Solomon,Will,Solomon,False
3755,78219,Willie Somerset,Willie,Somerset,False
3756,2443,Darius Songaila,Darius,Songaila,False
3757,78220,Dave Sorenson,Dave,Sorenson,False
3758,203480,James Southerland,James,Southerland,False
3759,78221,Gino Sovran,Gino,Sovran,False
3760,2776,Pape Sow,Pape,Sow,False
3761,1629034,Ray Spalding,Ray,Spalding,False
3762,78222,Jim Spanarkel,Jim,Spanarkel,False
3763,2779,Vassilis Spanoulis,Vassilis,Spanoulis,False
3764,78223,Guy Sparrow,Guy,Sparrow,False
3765,600009,Rory Sparrow,Rory,Sparrow,False
3766,78225,Odie Spears,Odie,Spears,False
3767,78226,Art Spector,Art,Spector,False
3768,201578,Marreese Speights,Marreese,Speights,False
3769,1629016,Omari Spellman,Omari,Spellman,True
3770,78227,Andre Spencer,Andre,Spencer,False
3771,771,Elmore Spencer,Elmore,Spencer,False
